precision,auc,n_features,features
0.240625,0.6246153846153846,26,"['player_height', 'player_weight', 'player_class', 'usage_overall', 'stats_passing_pct', 'win_rate', 'is_power_5', 'class_risk_factor', 'win_rate_class_risk_factor', 'is_not_same_coach_next_season', 'yoy_win_rate', 'yoy_stats_passing_pct', 'yoy_usage_overall', 'team_coach_encoded', 'team_name_encoded', 'team_conference_ACC', 'team_conference_American Athletic', 'team_conference_Big 12', 'team_conference_Big Ten', 'team_conference_Conference USA', 'team_conference_FBS Independents', 'team_conference_Mid-American', 'team_conference_Mountain West', 'team_conference_Pac-12', 'team_conference_SEC', 'team_conference_Sun Belt']"
0.24,0.6139097266369994,23,"['team_conference_Mid-American' 'yoy_win_rate' 'usage_overall'
 'class_risk_factor' 'player_weight' 'team_conference_American Athletic'
 'team_conference_SEC' 'team_coach_encoded' 'win_rate' 'stats_passing_pct'
 'team_conference_Big Ten' 'yoy_stats_passing_pct'
 'team_conference_Sun Belt' 'team_conference_Pac-12' 'team_conference_ACC'
 'yoy_usage_overall' 'is_not_same_coach_next_season'
 'win_rate_class_risk_factor' 'team_conference_Conference USA'
 'player_height' 'team_name_encoded' 'player_class'
 'team_conference_FBS Independents']"
0.22468354430379747,0.6000317863954228,12,"['team_conference_Mountain West' 'yoy_usage_overall'
 'win_rate_class_risk_factor' 'team_conference_FBS Independents'
 'is_power_5' 'player_class' 'team_coach_encoded' 'team_name_encoded'
 'player_height' 'is_not_same_coach_next_season' 'team_conference_SEC'
 'win_rate']"
0.18778280542986425,0.5589446916719645,10,"['player_weight' 'yoy_win_rate' 'team_conference_Conference USA'
 'team_conference_FBS Independents' 'yoy_usage_overall'
 'team_conference_Big Ten' 'win_rate_class_risk_factor'
 'team_coach_encoded' 'yoy_stats_passing_pct'
 'is_not_same_coach_next_season']"
0.21287128712871287,0.5705340114431023,16,"['stats_passing_pct' 'yoy_win_rate' 'win_rate_class_risk_factor'
 'player_weight' 'team_conference_Mid-American' 'team_conference_ACC'
 'team_conference_Big Ten' 'team_conference_Sun Belt' 'team_coach_encoded'
 'team_conference_Big 12' 'yoy_stats_passing_pct' 'yoy_usage_overall'
 'team_conference_FBS Independents' 'is_not_same_coach_next_season'
 'team_conference_American Athletic' 'team_conference_SEC']"
0.2181208053691275,0.5889637635092181,21,"['team_conference_ACC' 'team_conference_Mountain West' 'player_class'
 'team_name_encoded' 'player_height' 'is_power_5'
 'team_conference_Mid-American' 'player_weight' 'team_coach_encoded'
 'is_not_same_coach_next_season' 'team_conference_Pac-12'
 'team_conference_Big 12' 'stats_passing_pct' 'team_conference_Sun Belt'
 'win_rate' 'team_conference_American Athletic'
 'team_conference_Conference USA' 'team_conference_FBS Independents'
 'yoy_usage_overall' 'team_conference_Big Ten' 'class_risk_factor']"
0.21818181818181817,0.6219071837253656,21,"['player_weight' 'team_conference_Big Ten' 'usage_overall'
 'is_not_same_coach_next_season' 'stats_passing_pct' 'team_conference_SEC'
 'team_conference_FBS Independents' 'yoy_usage_overall' 'player_height'
 'team_conference_Big 12' 'yoy_stats_passing_pct' 'class_risk_factor'
 'team_conference_Mountain West' 'win_rate' 'team_conference_ACC'
 'team_conference_American Athletic' 'team_coach_encoded'
 'team_conference_Sun Belt' 'win_rate_class_risk_factor'
 'team_conference_Mid-American' 'team_conference_Conference USA']"
0.24390243902439024,0.6317228226319136,21,"['team_coach_encoded' 'team_conference_ACC'
 'team_conference_American Athletic' 'team_conference_Big 12'
 'yoy_stats_passing_pct' 'win_rate_class_risk_factor' 'team_name_encoded'
 'player_height' 'player_class' 'yoy_usage_overall'
 'team_conference_Mid-American' 'team_conference_Mountain West' 'win_rate'
 'team_conference_Conference USA' 'usage_overall' 'class_risk_factor'
 'stats_passing_pct' 'is_power_5' 'is_not_same_coach_next_season'
 'player_weight' 'team_conference_Sun Belt']"
0.2459546925566343,0.6112078830260648,15,"['team_conference_Pac-12' 'team_conference_Mid-American'
 'team_conference_FBS Independents' 'team_conference_Conference USA'
 'team_conference_ACC' 'usage_overall' 'stats_passing_pct'
 'class_risk_factor' 'team_name_encoded' 'team_conference_Big 12'
 'player_height' 'yoy_stats_passing_pct' 'team_conference_Sun Belt'
 'team_conference_SEC' 'team_conference_Big Ten']"
0.25688073394495414,0.6235346471710108,19,"['player_weight' 'team_conference_Big Ten'
 'team_conference_Conference USA' 'win_rate_class_risk_factor'
 'team_conference_Mid-American' 'team_conference_Big 12' 'player_class'
 'player_height' 'yoy_win_rate' 'team_name_encoded'
 'is_not_same_coach_next_season' 'team_conference_Mountain West'
 'stats_passing_pct' 'team_conference_Pac-12' 'is_power_5'
 'class_risk_factor' 'yoy_usage_overall' 'team_coach_encoded'
 'usage_overall']"
