team,season,wins,losses,_id
Wyoming,2017,8,5,67127c950f4ebd8209416f70
Wyoming,2018,6,6,67127c950f4ebd8209416f71
Wyoming,2019,8,5,67127c950f4ebd8209416f72
Wyoming,2020,2,4,67127c950f4ebd8209416f73
Wyoming,2021,7,6,67127c950f4ebd8209416f74
Wyoming,2022,7,6,67127c950f4ebd8209416f75
Wyoming,2023,9,4,67127c950f4ebd8209416f76
Wyoming,2024,0,0,67127c950f4ebd8209416f77
Central Michigan,2016,6,7,67127c950f4ebd8209416f78
Central Michigan,2017,8,5,67127c950f4ebd8209416f79
Central Michigan,2018,1,11,67127c950f4ebd8209416f7a
Central Michigan,2019,8,6,67127c950f4ebd8209416f7b
Central Michigan,2020,3,3,67127c950f4ebd8209416f7c
Central Michigan,2021,9,4,67127c950f4ebd8209416f7d
Central Michigan,2022,4,8,67127c950f4ebd8209416f7e
Central Michigan,2023,5,7,67127c950f4ebd8209416f7f
Central Michigan,2024,0,0,67127c950f4ebd8209416f80
Akron,2016,5,7,67127c950f4ebd8209416f81
Akron,2017,7,7,67127c950f4ebd8209416f82
Akron,2018,4,8,67127c950f4ebd8209416f83
Akron,2019,0,12,67127c950f4ebd8209416f84
Akron,2020,1,5,67127c950f4ebd8209416f85
Akron,2021,2,10,67127c950f4ebd8209416f86
Akron,2022,2,10,67127c950f4ebd8209416f87
Akron,2023,2,10,67127c950f4ebd8209416f88
Akron,2024,0,0,67127c950f4ebd8209416f89
Western Kentucky,2016,10,3,67127c950f4ebd8209416f8a
Western Kentucky,2017,6,7,67127c950f4ebd8209416f8b
Western Kentucky,2018,5,17,67127c950f4ebd8209416f8c
Western Kentucky,2019,9,4,67127c950f4ebd8209416f8d
Western Kentucky,2020,5,7,67127c950f4ebd8209416f8e
Western Kentucky,2021,9,5,67127c950f4ebd8209416f8f
Western Kentucky,2022,9,5,67127c950f4ebd8209416f90
Western Kentucky,2023,8,5,67127c950f4ebd8209416f91
Western Kentucky,2024,0,0,67127c950f4ebd8209416f92
Troy,2016,10,3,67127c950f4ebd8209416f93
Troy,2017,11,2,67127c950f4ebd8209416f94
Troy,2018,10,3,67127c950f4ebd8209416f95
Troy,2019,5,7,67127c950f4ebd8209416f96
Troy,2020,5,6,67127c950f4ebd8209416f97
Troy,2021,5,7,67127c950f4ebd8209416f98
Troy,2022,12,2,67127c950f4ebd8209416f99
Troy,2023,11,3,67127c950f4ebd8209416f9a
Troy,2024,0,0,67127c950f4ebd8209416f9b
Air Force,2016,10,3,67127c950f4ebd8209416f9c
Air Force,2017,5,7,67127c950f4ebd8209416f9d
Air Force,2018,5,7,67127c950f4ebd8209416f9e
Air Force,2019,11,2,67127c950f4ebd8209416f9f
Air Force,2020,3,3,67127c950f4ebd8209416fa0
Air Force,2021,10,3,67127c950f4ebd8209416fa1
Air Force,2022,10,3,67127c950f4ebd8209416fa2
Air Force,2023,9,4,67127c950f4ebd8209416fa3
Air Force,2024,0,0,67127c950f4ebd8209416fa4
Iowa State,2016,3,9,67127c950f4ebd8209416fa5
Iowa State,2017,8,5,67127c950f4ebd8209416fa6
Iowa State,2018,8,5,67127c950f4ebd8209416fa7
Iowa State,2019,7,6,67127c950f4ebd8209416fa8
Iowa State,2020,9,3,67127c950f4ebd8209416fa9
Iowa State,2021,7,6,67127c950f4ebd8209416faa
Iowa State,2022,4,8,67127c950f4ebd8209416fab
Iowa State,2023,7,6,67127c950f4ebd8209416fac
Iowa State,2024,0,0,67127c950f4ebd8209416fad
Toledo,2016,9,4,67127c950f4ebd8209416fae
Toledo,2017,11,3,67127c950f4ebd8209416faf
