player_height,player_weight,player_class,usage_overall,stats_passing_pct,win_rate,is_power_5,class_risk_factor,win_rate_class_risk_factor,is_not_same_coach_next_season,yoy_win_rate,yoy_stats_passing_pct,yoy_usage_overall,team_coach_encoded,team_name_encoded,team_conference_ACC,team_conference_American Athletic,team_conference_Big 12,team_conference_Big Ten,team_conference_Conference USA,team_conference_FBS Independents,team_conference_Mid-American,team_conference_Mountain West,team_conference_Pac-12,team_conference_SEC,team_conference_Sun Belt
74.0,212.0,4.0,0.4373,0.644,0.5384615384615384,1.0,0.1307,0.070376923076923,0.0,-0.2307692307692308,0.644,999.4373,54.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
74.0,212.0,4.0,-999.0,0.67,0.6666666666666666,1.0,0.1307,0.0871333333333333,1.0,0.1282051282051282,0.026,-999.4373,54.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
73.0,204.0,4.0,-999.0,0.0,0.4166666666666667,0.0,0.1307,0.0544583333333333,0.0,-999.0,-999.0,-999.0,34.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73.0,204.0,4.0,0.0092,1.0,0.5384615384615384,0.0,0.1307,0.070376923076923,1.0,0.1217948717948717,1.0,999.0092,34.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73.0,204.0,4.0,0.0539,0.588,0.4166666666666667,0.0,0.1307,0.0544583333333333,0.0,-0.1217948717948717,-0.412,0.0447,145.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78.0,232.0,4.0,0.4006,0.616,0.7692307692307693,1.0,0.1307,0.1005384615384615,0.0,-999.0,-999.0,-999.0,110.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
78.0,232.0,4.0,0.1111,0.543,0.6153846153846154,1.0,0.1307,0.0804307692307692,0.0,-0.1538461538461538,-0.0729999999999999,-0.2895,110.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
78.0,232.0,4.0,0.2987,0.609,0.25,1.0,0.1307,0.032675,0.0,-0.3653846153846154,0.0659999999999999,0.1876,38.0,113.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,225.0,4.0,-999.0,0.0,0.7142857142857143,1.0,0.1307,0.0933571428571428,0.0,-999.0,-999.0,-999.0,124.0,124.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,225.0,4.0,0.0308,0.636,0.6923076923076923,1.0,0.1307,0.0904846153846153,0.0,-0.021978021978022,0.636,999.0308,124.0,124.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,225.0,4.0,0.4405,0.539,0.3333333333333333,1.0,0.1307,0.0435666666666666,0.0,-0.358974358974359,-0.0969999999999999,0.4097,150.0,39.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,226.0,4.0,0.6095,0.586,0.5384615384615384,1.0,0.1307,0.070376923076923,0.0,-999.0,-999.0,-999.0,192.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76.0,226.0,4.0,0.5436,0.604,0.7692307692307693,1.0,0.1307,0.1005384615384615,0.0,0.2307692307692308,0.018,-0.0659,192.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76.0,226.0,4.0,0.5651,0.608,0.6428571428571429,1.0,0.1307,0.0840214285714285,0.0,-0.1263736263736263,0.004,0.0215,192.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
72.0,203.0,4.0,0.608,0.579,0.7857142857142857,1.0,0.1307,0.1026928571428571,0.0,-999.0,-999.0,-999.0,94.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
72.0,203.0,4.0,0.6709,0.665,0.8461538461538461,1.0,0.1307,0.1105923076923077,0.0,0.0604395604395604,0.086,0.0629,94.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
